#,Player,Yr,Pos,Ht,GP,GS,Goals,Assists,Points,Shots,Penalties,Pen. Min.,GameMisc,Goalie Mins.,GA,PPGA,Saves,Save pct,Shutouts,Goalie Won,Goalie Loss,Goalie Tied,GAA
35,Quinn Kuntz,Sr,G,5-7,1,0,,,0,,,,,19:53,0,,3,1,,,,,0
1,Raygan Kirk,Sr,G,5-8,24,24,,,0,,,,,1422:55:00,25,6,428,0.945,10,22,2,,1.054
29,Jojo Chobak,Sr,G,5-8,19,19,,,0,,,,,1132:49:00,31,8,476,0.939,4,7,11,1,1.642
1,Sanni Ahola,Sr,G,5-7,17,17,,1,1,,,,,1013:27:00,29,7,416,0.935,5,10,6,1,1.717
33,Maggie Malecha,So,G,5-5,7,3,,,0,,,,,262:47:00,23,4,155,0.871,,,3,,5.251
32,Calla Frank,Sr,G,5-6,17,16,,,0,,,,,871:09:00,57,13,448,0.887,,5,11,,3.926
1,Olivia King,Sr,G,5-6,19,18,,,0,1,,,,1078:58:00,68,8,469,0.873,,5,12,1,3.781
30,Ava McNaughton,Fr,G,6-0,24,23,,1,1,,,,,1362:35:00,33,6,482,0.936,5,20,3,,1.453
1,Jane Gervais,Jr,G,5-8,18,18,,,0,,,,,1081:49:00,28,6,327,0.921,6,15,3,,1.553
3,Hannah Squires,So,G,5-4,19,3,,,0,2,,,,122:07:00,6,2,25,0.806,,2,,,2.948
32,Chloe Baker,So,G,5-6,1,0,,,0,,,,,20:00,0,,7,1,,,,,0
